"","V1","V2"
"1","left","leanleft"
"2","left","leanright"
"3","left","center"
"4","left","left"
"5","left","left"
"6","left","leanright"
"7","left","left"
"8","left","left"
"9","left","leanleft"
"10","left","left"
"11","left","leanright"
"12","left","right"
"13","left","leanleft"
"14","left","left"
"15","left","left"
"16","left","leanright"
"17","left","left"
"18","left","center"
"19","left","left"
"20","left","left"
"21","left","left"
"22","left","left"
"23","left","left"
"24","left","leanleft"
"25","left","left"
"26","left","leanright"
"27","left","leanleft"
"28","left","left"
"29","left","leanleft"
"30","left","leanleft"
"31","left","leanright"
"32","left","center"
"33","left","center"
"34","left","leanright"
"35","left","leanright"
"36","left","right"
"37","left","leanleft"
"38","left","left"
"39","left","left"
"40","left","leanright"
"41","left","left"
"42","left","left"
"43","left","left"
"44","left","leanright"
"45","left","left"
"46","left","leanright"
"47","left","left"
"48","left","right"
"49","left","left"
"50","left","left"
"51","left","leanleft"
"52","left","left"
"53","left","leanright"
"54","left","center"
"55","left","center"
"56","left","center"
"57","left","leanright"
"58","left","leanright"
"59","left","leanleft"
"60","left","leanright"
"61","left","left"
"62","left","leanleft"
"63","left","left"
"64","left","left"
"65","left","leanright"
"66","left","right"
"67","left","leanleft"
"68","left","left"
"69","left","left"
"70","left","left"
"71","left","left"
"72","left","left"
"73","left","right"
"74","left","left"
"75","left","right"
"76","left","left"
"77","left","leanright"
"78","left","leanleft"
"79","left","left"
"80","left","left"
"81","left","left"
"82","left","leanleft"
"83","left","center"
"84","left","leanleft"
"85","left","left"
"86","left","left"
"87","left","leanleft"
"88","left","left"
"89","left","right"
"90","left","left"
"91","left","left"
"92","left","left"
"93","left","leanright"
"94","left","center"
"95","left","leanleft"
"96","left","right"
"97","left","left"
"98","left","right"
"99","left","right"
"100","left","left"
"101","left","center"
"102","left","leanleft"
"103","left","right"
"104","left","center"
"105","left","leanright"
"106","left","left"
"107","left","leanleft"
"108","left","leanright"
"109","left","left"
"110","left","center"
"111","left","center"
"112","left","left"
"113","left","left"
"114","left","leanleft"
"115","left","leanleft"
"116","left","left"
"117","left","left"
"118","left","center"
"119","left","leanright"
"120","left","left"
"121","left","center"
"122","left","center"
"123","left","left"
"124","left","center"
"125","left","left"
"126","left","left"
"127","left","leanleft"
"128","left","center"
"129","left","right"
"130","left","leanright"
"131","left","left"
"132","left","leanleft"
"133","left","left"
"134","left","leanleft"
"135","left","right"
"136","left","center"
"137","left","left"
"138","left","right"
"139","left","left"
"140","left","left"
"141","left","right"
"142","left","leanleft"
"143","left","left"
"144","left","left"
"145","left","leanleft"
"146","left","left"
"147","left","leanright"
"148","left","center"
"149","left","left"
"150","left","right"
"151","left","center"
"152","left","left"
"153","left","center"
"154","left","right"
"155","left","leanright"
"156","left","right"
"157","left","left"
"158","left","left"
"159","left","right"
"160","left","leanright"
"161","left","right"
"162","left","leanright"
"163","left","left"
"164","left","leanleft"
"165","left","left"
"166","left","leanleft"
"167","left","right"
"168","left","left"
"169","left","left"
"170","left","leanleft"
"171","left","left"
"172","left","left"
"173","left","leanleft"
"174","left","leanright"
"175","left","left"
"176","left","center"
"177","left","right"
"178","left","left"
"179","left","center"
"180","left","right"
"181","left","center"
"182","left","center"
"183","left","left"
"184","left","left"
"185","left","leanleft"
"186","left","left"
"187","left","left"
"188","left","left"
"189","left","right"
"190","left","left"
"191","left","leanleft"
"192","left","right"
"193","left","left"
"194","left","leanright"
"195","left","leanright"
"196","left","left"
"197","left","left"
"198","left","center"
"199","left","leanleft"
"200","left","leanright"
"201","left","leanright"
"202","left","right"
"203","left","right"
"204","left","center"
"205","left","left"
"206","left","leanright"
"207","left","center"
"208","left","leanleft"
"209","left","left"
"210","left","leanright"
"211","left","right"
"212","left","left"
"213","left","leanleft"
"214","left","leanright"
"215","left","right"
"216","left","leanright"
"217","left","left"
"218","left","leanleft"
"219","left","left"
"220","left","leanleft"
"221","left","left"
"222","left","left"
"223","left","left"
